sim,seed,dist_size,k,n_rep,naive_mean,jackknife_mean,bootstrap_mean,naive_t_test,bootstrap_t_test
1,1,500,28,50,0.013202627491387222,0.00022255944324772403,0.006458966445660214,"Ttest_relResult(statistic=9.59847522183462, pvalue=7.707063357461648e-13)","Ttest_relResult(statistic=6.36355029333246, pvalue=6.42408711299268e-08)"
1,1,500,28,100,0.00996860462430606,-0.002140206878123005,0.003543779978264942,"Ttest_relResult(statistic=13.53642502818619, pvalue=2.9733948838670295e-24)","Ttest_relResult(statistic=9.037026549919657, pvalue=1.3762957415563896e-14)"
1,1,500,28,200,0.009031604216703727,-0.0024800347873713937,0.002639297936338069,"Ttest_relResult(statistic=18.95256737789401, pvalue=1.891529992572338e-46)","Ttest_relResult(statistic=11.25768136048485, pvalue=4.565001820207213e-23)"
2,1,500,28,10,0.03252177014743514,0.02018810968032622,0.024880079239531023,"Ttest_relResult(statistic=3.9747122917032596, pvalue=0.003231528120682006)","Ttest_relResult(statistic=2.301543507668251, pvalue=0.046880833448396816)"
2,1,500,28,50,0.019538529530345787,0.006335885671160999,0.01277902147021964,"Ttest_relResult(statistic=9.708146991731413, pvalue=5.331329917734474e-13)","Ttest_relResult(statistic=6.594974489193523, pvalue=2.814455633778945e-08)"
2,1,500,28,100,0.01629136721111757,0.0039637997947035795,0.009830186779726082,"Ttest_relResult(statistic=13.7029343377305, pvalue=1.3450330538980044e-24)","Ttest_relResult(statistic=9.349254492183166, pvalue=2.8748875209337298e-15)"
2,1,500,28,200,0.015357469290230553,0.0036329387853193855,0.008909930173415789,"Ttest_relResult(statistic=19.193140224821757, pvalue=3.7176663395422465e-47)","Ttest_relResult(statistic=11.590826126300493, pvalue=4.506087728158004e-24)"
1,1,500,56,10,-0.0034598104371693474,-0.006559044050088875,-0.005041787920101159,"Ttest_relResult(statistic=1.720236750912828, pvalue=0.11950117374033799)","Ttest_relResult(statistic=1.3883910618914994, pvalue=0.19841760273670908)"
1,1,500,56,50,0.0052006256050133245,0.0006930544857527355,0.0031766469187162706,"Ttest_relResult(statistic=6.199776002321785, pvalue=1.150986278573749e-07)","Ttest_relResult(statistic=5.158426190477901, pvalue=4.483201820472272e-06)"
1,1,500,56,100,0.004170750377201321,-0.0013455096830228713,0.0012494903687372799,"Ttest_relResult(statistic=10.49584402694164, pvalue=9.08730169822733e-18)","Ttest_relResult(statistic=7.436603593162213, pvalue=3.7831166495857206e-11)"
1,1,500,56,200,0.007865209656635784,0.0024768061400373556,0.004758045596414605,"Ttest_relResult(statistic=13.308692746120853, pvalue=2.5342736089965663e-29)","Ttest_relResult(statistic=8.292940007482912, pvalue=1.637602568600796e-14)"
2,1,500,56,10,0.00024290303299116524,-0.0029136669942390224,-0.0014374218095791202,"Ttest_relResult(statistic=1.749156944847388, pvalue=0.11419508756868829)","Ttest_relResult(statistic=1.3234882398611463, pvalue=0.21830552090152724)"
